titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
Este hermoso apartamento residencial en renta ofre,alquiler,todos,"US$ 1,200",1200.0,USD,3.0,3,141.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/este-hermoso-apartamento-residencial-en-renta-ofre-gryzhp1
alquiler de apartamento amueblado en los jardines,alquiler,todos,"RD$ 55,000",55000.0,DOP,2.0,2,0.0,sí,"Distrito Nacional, Santo Domingo.Jardines Del Sur, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-apartamento-amueblado-en-los-jardines-gryzg6e
Apartamento de alquiler en Carmen Renata lll,alquiler,todos,"RD$ 16,000",16000.0,DOP,3.0,3,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-alquiler-en-carmen-renata-lll-t6s2gft
¡Gran oportunidad en Malecón Center!,alquiler,todos,US$ 950,950.0,USD,3.0,1,68.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/gran-oportunidad-en-malecon-center-rvjed3m
"Apartamento nuevo en alquiler de 1 habitación, en Urbanización Real.",alquiler,todos,US$ 900,900.0,USD,1.0,1,32.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-nuevo-en-alquiler-de-1-habitacion-en-urbanizacion-real-neerdrr
Apartamento nuevo en alquiler de 2 habitaciones en Urbanización Real,alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,30.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-nuevo-en-alquiler-de-2-habitaciones-en-urbanizacion-real-k93cee3
Apartamento en Alquiler con Línea Blanca en Bella Vista Sur,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-con-linea-blanca-en-bella-vista-sur-vsqzsz9
sin intermediarios Rento apartamento 30 de mayo,alquiler,todos,"RD$ 29,000",29000.0,DOP,,2,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/sin-intermediarios-rento-apartamento-30-de-mayo-vngds1b
APARTAMENTO AMUEBLADO EN ALQUILER EN BELLA VISTA SUR,alquiler,todos,"US$ 1,250",1250.0,USD,1.0,3,215.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-alquiler-en-bella-vista-sur-8zkj0q7
APARTAMENTO EN ALQUILER AMUEBLADO EN ENSANCHE PIAN,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Ensanche Naco, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-ensanche-pian-kb0rkdm
Apartamento en Venta/ Alquiler de 1 habitación con línea blanca en Serralles,alquiler,todos,"US$ 1,100",1100.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-venta-alquiler-de-1-habitacion-con-linea-blanca-en-serralles-gxn0yvy
APARTAMENTO EN ALQUILER AMUEBLADO EN LAS PRADERAS,alquiler,todos,US$ 950,950.0,USD,3.0,3,120.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-las-praderas-h89qjem
Alquiler apartamento en Ensanche Paraiso con área social,alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-apartamento-en-ensanche-paraiso-con-area-social-35fg91k
ALQUILO Apartamento en Piso 7 con 155 Metros en El,alquiler,todos,"US$ 1,300",1300.0,USD,3.0,3,155.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-en-piso-7-con-155-metros-en-el-0krkw03
"Alquilo Apartamento en Lujosa torre con amenidades Completas, 3hab., 180 mts",alquiler,todos,"US$ 1,400",1400.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-en-lujosa-torre-con-amenidades-92586kz
Apartamento  de Una (1) Habitacion Amueblado  y E,alquiler,todos,US$ 850,850.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Serrallés, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-una-1-habitacion-amueblado-y-e-wnrxxd4
Malecon Center apartamento remodelado con vista al,alquiler,todos,"US$ 3,000",3000.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Ensanche Independencia, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/malecon-center-apartamento-remodelado-con-vista-al-yqtj7kc
"Apartamento de 3 habitaciones, ubicado en la prestigiosa zona de Renacimiento",alquiler,todos,"US$ 1,350",1350.0,USD,3.0,3,6.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-3-habitaciones-ubicado-en-la-prestigiosa-zona-de-renacimiento-3266199
Apartamento en alquiler amueblado de 1 habitacion,alquiler,todos,US$ 800,800.0,USD,1.0,1,66.0,sí,"Distrito Nacional, Santo Domingo.Ensanche Independencia, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-de-1-habitacion-vrjqc15
Apartamento de 1 habitación en Mirador Norte,alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-1-habitacion-en-mirador-norte-6xhqvy0
