titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
APARTAMENTO EN ALQUILER EN SERRALLES,alquiler,todos,"US$ 1,200",1200.0,USD,2.0,2,78.0,sí,"location_onDistrito Nacional, Santo Domingo.Serrallés, Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/colinas-de-los-rios-distrito-nacional-santo-domi-6eyhhna
"Apartamento en alquiler de 1, 2 y 3 habitaciones,",alquiler,todos,"RD$ 21,000",21000.0,DOP,1.0,2,,sí,"Distrito Nacional, Santo Domingo.Buenos Aires (Independencia), Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-de-1-2-y-3-habitaciones-bx43ftw
Apartamento de 3 habitaciones con linea blanca en alquiler frente al Mar,alquiler,todos,"US$ 2,300",2300.0,USD,3.0,3,352.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-3-habitaciones-con-linea-blanca-en-alquiler-frente-al-mar-ty6tppm
Apartamento en alquiler y venta amueblado con vista al Mar,alquiler,todos,"US$ 2,800",2800.0,USD,3.0,3,173.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-y-venta-amueblado-con-vista-al-mar-s9c6cry
Apartamento con terraza privada y vista espectacular al mar.,alquiler,todos,"US$ 2,200",2200.0,USD,3.0,3,11.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-con-terraza-privada-y-vista-espectacular-al-mar-r5n6mfb
Apartamento de Lujo NUEVO en Bella Vista de 3 Habitaciones,alquiler,todos,"US$ 2,900",2900.0,USD,3.0,3,92.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-lujo-nuevo-en-bella-vista-de-3-habitaciones-tfvver1
Apartamento en alquiler de 3 habitaciones con vist,alquiler,todos,"US$ 2,300",2300.0,USD,3.0,3,352.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-de-3-habitaciones-con-vist-2nnq72a
Apartamento remodelado en alquiler de 3 habitacion,alquiler,todos,"US$ 2,800",2800.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-remodelado-en-alquiler-de-3-habitacion-zfac6ne
Apartamento de 3 habitaciones en alquiler con vist,alquiler,todos,"US$ 2,500",2500.0,USD,3.0,3,11.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-3-habitaciones-en-alquiler-con-vist-rndc7kj
Apto en alquiler en Miraflores,alquiler,todos,"RD$ 38,500",38500.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Miraflores, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apto-en-alquiler-en-miraflores-pbp772b
Apartamento en alquiler con terraza privada y vista al Mar,alquiler,todos,"US$ 2,500",2500.0,USD,3.0,3,11.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-con-terraza-privada-y-vis-nwzttv4
SIN INTERMEDIARIO APARTAMENTO K9 PROXIMO AL MALECO,alquiler,todos,"RD$ 45,000",45000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Buenos Aires (Independencia), Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/sin-intermediario-apartamento-k9-proximo-al-maleco-mvaqzdj
ALQUILER AMUEBLADO EN ENSANCHE PIANTINI,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-amueblado-en-ensanche-piantini-r6d8n91
Apartamento en alquiler Totalmente Remodelado en,alquiler,todos,"US$ 1,300",1300.0,USD,3.0,3,165.0,sí,"Distrito Nacional, Santo Domingo.Los Cacicazgos, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-totalmente-remodelado-en-0tvn0fk
Apartamento  de Una (1) Habitacion Amueblado ubicado en  Serralles,alquiler,todos,US$ 850,850.0,USD,1.0,1,250.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-una-1-habitacion-amueblado-ubicado-en-serralles-aehhjde
APARTAMENTO AMUEBLADO EN ALQUILER EN BELLA VISTA S,alquiler,todos,"US$ 1,350",1350.0,USD,3.0,3,215.0,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-alquiler-en-bella-vista-s-nfbhqxs
Amplio Apartamento en Alquiler Amueblado En Malecó,alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Ensanche Independencia, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/amplio-apartamento-en-alquiler-amueblado-en-maleco-xwsr6eh
"Apartamento en alquiler Amueblado, Con Piscina y G",alquiler,todos,"US$ 1,500",1500.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Zona Universitaria, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-con-piscina-y-g-xkwv95f
"APARTAMENTO AMUEBLADO DE 1 HABITACION, EN LA ZONA",alquiler,todos,"US$ 1,150",1150.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Ensanche Independencia, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-de-1-habitacion-en-la-zona-ss17xt8
Apartamento en alquiler de dos habitaciones en Gaz,alquiler,todos,"US$ 1,110",1110.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-de-dos-habitaciones-en-gaz-seqc3r9
APARTAMENTO EN ALQUILER AMUEBLADO EN GAZCUE,alquiler,todos,US$ 825,825.0,USD,1.0,1,70.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-gazcue-s74f8kk
Apartamento en alquiler amueblado en torre de lujo en Urbanización Real,alquiler,todos,"US$ 1,700",1700.0,USD,2.0,2,112.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-torre-de-lujo-en-urbanizacion-real-ren0vc0
Apartamento con terraza privada y vista al mar en Malecon Center,alquiler,todos,"US$ 2,000",2000.0,USD,3.0,3,11.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-con-terraza-privada-y-vista-al-mar-en-malecon-center-abc7dfw
Apartamento en Venta/ Alquiler de 1 habitación con,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,,sí,"location_onDistrito Nacional, Santo Domingo.Serrallés, Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-venta-alquiler-de-1-habitacion-con-wncpzcj
Apartamento en Venta/ Alquiler de 1 habitación con línea blanca en Serralles,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,250.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-venta-alquiler-de-1-habitacion-con-linea-blanca-en-serralles-w7x5tkd
Apartamentos de 1 habitación amueblado en Gazcue,alquiler,todos,"US$ 1,050",1050.0,USD,1.0,1,60.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamentos-de-1-habitacion-amueblado-en-gazcue-28wyn86
Apartamento Completamente Amueblado de 2 Habitaciones en Mirador Norte,alquiler,todos,"US$ 1,200",1200.0,USD,2.0,2,250.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-completamente-amueblado-de-2-habitaciones-en-mirador-norte-167qh6j
Apartamento en Alquiler Amueblado en Gazcue,alquiler,todos,"US$ 1,350",1350.0,USD,3.0,3,250.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-gazcue-tdy48h1
APARTAMENTO AMUEBLADO EN ALQUILER EN BELLA VISTA SUR,alquiler,todos,"US$ 1,350",1350.0,USD,1.0,3,215.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-alquiler-en-bella-vista-sur-sdqb0d7
EN BELLA VISTA SUR APARTAMENTO AMUEBLADO EN ALQUILER,alquiler,todos,"US$ 1,350",1350.0,USD,,3,215.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/en-bella-vista-sur-apartamento-amueblado-en-alquiler-4ptv6fv
Alquiler Jacobo Majluta,alquiler,todos,"RD$ 35,000",35000.0,DOP,3.0,3,250.0,sí,"Santo Domingo Norte, Santo Domingo.Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-jacobo-majluta-r047x8s
Apartamento con Balcón en Serrallés,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,1,80.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-con-balcon-en-serralles-395r9f1
Apartamento en alquiler en torre de lujo,alquiler,todos,"US$ 1,300",1300.0,USD,1.0,3,160.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-en-torre-de-lujo-zzt676n
Apartamento en alquiler amueblado en torre de lujo en Urbanización Real,alquiler,todos,"US$ 1,600",1600.0,USD,2.0,2,112.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-torre-de-lujo-en-urbanizacion-real-p9hm0h0
Apartamento en Alquiler – Gazcue,alquiler,todos,"US$ 1,350",1350.0,USD,3.0,3,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-gazcue-cq5er9z
Apartamento de Una (1) Habitacion Amueblado.,alquiler,todos,"US$ 1,250",1250.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-una-1-habitacion-amueblado-cndwrpy
Apartamento en Alquiler con Amplia Terraza Privada en La Esperilla.,alquiler,todos,"US$ 1,500",1500.0,USD,1.0,1,103.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-con-amplia-terraza-privada-en-la-esperilla-cfr1dcb
Apartamentos de 1 habitación espectaculares en alquiler en Gazcue,alquiler,todos,"US$ 1,050",1050.0,USD,1.0,1,60.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamentos-de-1-habitacion-espectaculares-en-alquiler-en-gazcue-k9yv662
Apartamento con preciosa terraza Jacuzzy y BBQ privado.,alquiler,todos,"US$ 1,800",1800.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-con-preciosa-terraza-jacuzzy-y-bbq-privado-hc63pkw
"Moderno y Acogedor Apartamento en alquiler en La Esperilla, con LINEA BLANCA.",alquiler,todos,"US$ 1,550",1550.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/moderno-y-acogedor-apartamento-en-alquiler-en-la-esperilla-con-linea-blanca-dyr912w
Hermoso apartamento con acogedora área social ubicado en el Mirador Norte.,alquiler,todos,"US$ 1,500",1500.0,USD,3.0,2,98.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/hermoso-apartamento-con-acogedora-area-social-ubicado-en-el-mirador-norte-b01ngwc
"Amplio Apartamento Amueblado En Malecón Center, De 2 Habitaciones.",alquiler,todos,"US$ 1,250",1250.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/amplio-apartamento-amueblado-en-malecon-center-de-2-habitaciones-1ahmqsm
Apartamento en Alquiler y Venta en Serralles,alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,60.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-y-venta-en-serralles-07ewz84
Apartamento Completamente Amueblado de 2 Habitaciones en Mirador Norte,alquiler,todos,"US$ 1,200",1200.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-completamente-amueblado-de-2-habitaciones-en-mirador-norte-v2x2ear
Apartamento de 1 habitación en alquiler ubicado en Renacimiento.,alquiler,todos,US$ 950,950.0,USD,1.0,1,65.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-de-1-habitacion-en-alquiler-ubicado-en-renacimiento-tzhw6d2
ALQUILER JUAN Bosch,alquiler,todos,"RD$ 21,000",21000.0,DOP,,3,250.0,sí,"Santo Domingo Este, Santo Domingo.Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-juan-bosch-2b32sgt
ALQUILER DETRÁS DE CARREFOUR,alquiler,todos,RD$ 900,900.0,DOP,3.0,3,128.0,sí,"Distrito Nacional, Santo Domingo.Colinas del Seminario, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-detras-de-carrefour-nqg2gjj
ALQUILO APARTAMENTO ESTUDIO EN CATELLANO RODRIGUEZ,alquiler,todos,"RD$ 34,000",34000.0,DOP,,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-estudio-en-catellano-rodriguez-dwy9y41
Apartamento amueblado en alquiler Residencial Murales en Gazcue,alquiler,todos,US$ 900,900.0,USD,1.0,1,57.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-alquiler-residencial-murales-en-gazcue-y9bs23y
"ALQUILO APTO 2 HABS EN EL VERGEL, TORRE BILBAO, 10",alquiler,todos,"US$ 1,300",1300.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.La Esperilla, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apto-2-habs-en-el-vergel-torre-bilbao-10-bqmm48g
"En Miramar, alquilo apartamento de 2 habitaciones",alquiler,todos,"RD$ 30,000",30000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Miramar, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/en-miramar-alquilo-apartamento-de-2-habitaciones-b3eq04j
APARTAMENTO AMOBLADO,alquiler,todos,US$ 975,975.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amoblado-7cf9fjx
Amplio apartamento Arroyo Hondo 2 hab + 1 estudio/,alquiler,todos,"RD$ 36,000",36000.0,DOP,2.0,3,11.0,sí,"Distrito Nacional, Santo Domingo.null, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/amplio-apartamento-arroyo-hondo-2-hab-1-estudio-rjpb92b
APARTAMENTO AMOBLADO,alquiler,todos,US$ 800,800.0,USD,,3,,sí,"Santo Domingo Norte, Santo Domingo.Colinas del Arroyo II, Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amoblado-jy5et1e
Se Alquila,alquiler,todos,"RD$ 20,000",20000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Don Honorio, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/se-alquila-3ms1aep
"Serralles, Distrito Nacional, Santo Domingo ALQUIL",alquiler,todos,US$ 900,900.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Serrallés, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/serralles-distrito-nacional-santo-domingo-alquil-2nrvrfg
ALQUILO SIN INTERMEDIARIOS PROXIMO A UNICARIBE 30,alquiler,todos,"RD$ 30,000",30000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediarios-proximo-a-unicaribe-30-6fambv9
Rento apartamento en Honduras próximo al mirador sur,alquiler,todos,US$ 700,700.0,USD,,2,,sí,"Distrito Nacional, Santo Domingo.Dominicanos Ausentes, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/rento-apartamento-en-honduras-proximo-al-mirador-sur-w0gnxxs
ALQUILO SIN INTERMEDIARIOS PROXIMO A UNICARIBE 30,alquiler,todos,"RD$ 30,000",30000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediarios-proximo-a-unicaribe-30-2e86fnw
Alquilo precioso apartamento en Don Honorio Próximo a carrefour,alquiler,todos,"RD$ 47,000",47000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Don Honorio, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-precioso-apartamento-en-don-honorio-proximo-a-carrefour-m9trg5c
Apartamento en alquiler amueblado de 1 habitación,alquiler,todos,"US$ 1,350",1350.0,USD,1.0,1,68.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-de-1-habitacion-h0erahf
Apartamento En Alquiler En Piantini Amueblado De U,alquiler,todos,"US$ 1,100",1100.0,USD,3.0,1,44.0,sí,"Distrito Nacional, Santo Domingo.Piantini, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-en-piantini-amueblado-de-u-a9kcg5h
Apartamento Alquiler Ensanche Italia Santo Domingo,alquiler,todos,US$ 725,725.0,USD,3.0,3,,sí,"Santo Domingo Este, Santo Domingo.Italia, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-alquiler-ensanche-italia-santo-domingo-2f4ed3t
Apartamento en alquiler amueblado en el Ensanche N,alquiler,todos,"US$ 1,800",1800.0,USD,2.0,2,123.0,sí,"Distrito Nacional, Santo Domingo.Ensanche Naco, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-en-el-ensanche-n-dy73kw5
Apto finamento amueblado en Bella Vista,alquiler,todos,"US$ 1,450",1450.0,USD,1.0,1,30.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apto-finamento-amueblado-en-bella-vista-rp6b2wm
Alquiler de inmuble,alquiler,todos,"RD$ 15,000",15000.0,DOP,3.0,3,,sí,"Santo Domingo Norte, Santo Domingo.Sabana Perdida, Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-inmuble-c7629t5
"Se alquilan aptos y casas en Distrito N.Sto Dgo Oeste,Norte ,Zona Oriental",alquiler,todos,"RD$ 17,500",17500.0,DOP,1.0,3,,sí,"location_onDistrito Nacional, Santo Domingo.Alfimar, Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/se-alquilan-aptos-y-casas-alma-rosa-ozama-zona-oriental-01epfkx03j2nyjxcxq385e8kht
alquiler de aparamento amueblado en evaristo,alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-aparamento-amueblado-en-evaristo-7b5jwpf
Apartamento Amueblado en Alquiler – Evaristo Moral,alquiler,todos,US$ 900,900.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-alquiler-evaristo-moral-0m4yynz
"Penthouse en Evaristo Morales – 8vo Piso ✨ U$1,100",alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/penthouse-en-evaristo-morales-8vo-piso-u-1-100-3hskyym
Apartamento Minimalista y Moderno,alquiler,todos,US$ 1,1.0,USD,2.0,3,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-minimalista-y-moderno-t3hz5pn
"Apartamento en Alquiler La Esperilla, Linea Blanca",alquiler,todos,"US$ 1,600",1600.0,USD,2.0,2,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-la-esperilla-linea-blanca-4xa0bre
Apartamento Con excelente ubicación en Anacaona,alquiler,todos,"US$ 1,200",1200.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.ANACAONA, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/hermoso-apartamento-con-excelente-ubicacion-en-anacaona-01etnknvhrfeten03y262kgf7w
CÓMODO APARTAMENTO TORRE MODERNA  DE 2 HABITACIONES MAS SERVICIO EN BELLA VISTA,alquiler,todos,"US$ 1,000",1000.0,USD,2.0,2,220.0,sí,"location_onOtras ciudades, Santo Domingo.Otras ciudadesapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/comodo-apartamento-torre-moderna-de-2-habitaciones-mas-servicio-en-bella-vista-01epffze0tfmn14ynekg3rcb0c
Apartamento Alquiler Restauradores DOS Habitacione,alquiler,todos,US$ 750,750.0,USD,1.0,2,,sí,"Distrito Nacional, Santo Domingo.Los Restauradores, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-alquiler-restauradores-dos-habitacione-xz90c0d
Apartamento en Alquiler con Linea Blanca en Piantini,alquiler,todos,"US$ 1,150",1150.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-con-linea-blanca-en-piantini-b22wpe8
Sin intermediarios Rento apartamento tradicional en Naco,alquiler,todos,"RD$ 47,000",47000.0,DOP,,3,,sí,"Distrito Nacional, Santo Domingo.Dominicanos Ausentes, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/sin-intermediarios-rento-apartamento-tradicional-en-naco-sg3r1w0
Apartamento en Bella Vista Norte,alquiler,todos,"US$ 1,250",1250.0,USD,3.0,3,56.0,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-bella-vista-norte-n5eqvxm
ALQUILO SIN INTERMEDIARIOS KM 9 AVENIDA INDEPENDEN,alquiler,todos,"RD$ 45,000",45000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediarios-km-9-avenida-independen-xr28gc6
Apartamento Nuevo en Urbanización Real,alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,30.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-nuevo-en-urbanizacion-real-z096pa6
ALQUILO SIN INTERMEDIARIO EN NACO 1 HABITACIÓN CON,alquiler,todos,US$ 750,750.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Serrallés, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediario-en-naco-1-habitacion-con-df9hsc4
ALQUILO SIN INTERMEDIARIOS KM 9 AVENIDA INDEPENDEN,alquiler,todos,"RD$ 45,000",45000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediarios-km-9-avenida-independen-81r7bzy
Alquilo Apartamento 4to piso altos de arroyo hondo,alquiler,todos,US$ 550,550.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Altos de Arroyo Hondo III, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-4to-piso-altos-de-arroyo-hondo-dsnbz48
